,img_name,upper_fabric,lower_fabric,outer_fabric,upper_pattern,lower_pattern,outer_pattern,img_id,img_num,img_view,segm_name
0,MEN-Denim-id_00000080-01_7_additional.jpg,1,1,7,3,4,7,MEN-Denim-id_00000080,01,additional,MEN-Denim-id_00000080-01_7_additional_segm.png
1,MEN-Denim-id_00000089-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,01,additional,MEN-Denim-id_00000089-01_7_additional_segm.png
2,MEN-Denim-id_00000089-02_7_additional.jpg,1,1,7,2,3,7,MEN-Denim-id_00000089,02,additional,MEN-Denim-id_00000089-02_7_additional_segm.png
3,MEN-Denim-id_00000089-03_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,03,additional,MEN-Denim-id_00000089-03_7_additional_segm.png
4,MEN-Denim-id_00000089-04_7_additional.jpg,0,1,7,3,3,7,MEN-Denim-id_00000089,04,additional,MEN-Denim-id_00000089-04_7_additional_segm.png
5,MEN-Denim-id_00000089-05_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,05,additional,MEN-Denim-id_00000089-05_7_additional_segm.png
6,MEN-Denim-id_00000089-08_4_full.jpg,1,1,0,4,3,3,MEN-Denim-id_00000089,08,full,MEN-Denim-id_00000089-08_4_full_segm.png
7,MEN-Denim-id_00000089-15_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,15,full,MEN-Denim-id_00000089-15_4_full_segm.png
8,MEN-Denim-id_00000089-17_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,17,full,MEN-Denim-id_00000089-17_4_full_segm.png
9,MEN-Denim-id_00000089-18_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,18,full,MEN-Denim-id_00000089-18_4_full_segm.png
10,MEN-Denim-id_00000089-26_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,26,additional,MEN-Denim-id_00000089-26_7_additional_segm.png
11,MEN-Denim-id_00000089-27_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,27,additional,MEN-Denim-id_00000089-27_7_additional_segm.png
12,MEN-Denim-id_00000089-28_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,28,front,MEN-Denim-id_00000089-28_1_front_segm.png
13,MEN-Denim-id_00000089-29_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,29,additional,MEN-Denim-id_00000089-29_7_additional_segm.png
14,MEN-Denim-id_00000089-44_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,44,additional,MEN-Denim-id_00000089-44_7_additional_segm.png
15,MEN-Denim-id_00000089-45_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,45,additional,MEN-Denim-id_00000089-45_7_additional_segm.png
16,MEN-Denim-id_00000089-46_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,46,additional,MEN-Denim-id_00000089-46_7_additional_segm.png
17,MEN-Denim-id_00000182-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000182,01,additional,MEN-Denim-id_00000182-01_7_additional_segm.png
19,MEN-Denim-id_00000265-01_2_side.jpg,1,1,7,3,3,7,MEN-Denim-id_00000265,01,side,MEN-Denim-id_00000265-01_2_side_segm.png
21,MEN-Denim-id_00000313-01_1_front.jpg,1,0,7,4,3,7,MEN-Denim-id_00000313,01,front,MEN-Denim-id_00000313-01_1_front_segm.png
22,MEN-Denim-id_00000353-01_7_additional.jpg,1,0,1,3,3,3,MEN-Denim-id_00000353,01,additional,MEN-Denim-id_00000353-01_7_additional_segm.png
23,MEN-Denim-id_00000353-02_7_additional.jpg,1,0,0,3,4,3,MEN-Denim-id_00000353,02,additional,MEN-Denim-id_00000353-02_7_additional_segm.png
24,MEN-Denim-id_00000516-01_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00000516,01,front,MEN-Denim-id_00000516-01_1_front_segm.png
25,MEN-Denim-id_00000565-01_7_additional.jpg,1,0,7,4,4,7,MEN-Denim-id_00000565,01,additional,MEN-Denim-id_00000565-01_7_additional_segm.png
26,MEN-Denim-id_00000750-01_1_front.jpg,1,0,1,3,4,3,MEN-Denim-id_00000750,01,front,MEN-Denim-id_00000750-01_1_front_segm.png
27,MEN-Denim-id_00000826-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00000826,01,front,MEN-Denim-id_00000826-01_1_front_segm.png
28,MEN-Denim-id_00000826-02_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000826,02,additional,MEN-Denim-id_00000826-02_7_additional_segm.png
29,MEN-Denim-id_00000826-03_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00000826,03,front,MEN-Denim-id_00000826-03_1_front_segm.png
30,MEN-Denim-id_00000826-04_7_additional.jpg,1,0,7,3,4,7,MEN-Denim-id_00000826,04,additional,MEN-Denim-id_00000826-04_7_additional_segm.png
31,MEN-Denim-id_00000867-01_1_front.jpg,1,0,7,3,5,7,MEN-Denim-id_00000867,01,front,MEN-Denim-id_00000867-01_1_front_segm.png
34,MEN-Denim-id_00000938-02_1_front.jpg,1,1,2,2,3,3,MEN-Denim-id_00000938,02,front,MEN-Denim-id_00000938-02_1_front_segm.png
35,MEN-Denim-id_00000938-03_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000938,03,additional,MEN-Denim-id_00000938-03_7_additional_segm.png
36,MEN-Denim-id_00000938-05_1_front.jpg,0,1,7,3,4,7,MEN-Denim-id_00000938,05,front,MEN-Denim-id_00000938-05_1_front_segm.png
37,MEN-Denim-id_00001198-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00001198,01,additional,MEN-Denim-id_00001198-01_7_additional_segm.png
38,MEN-Denim-id_00001198-02_7_additional.jpg,1,1,7,3,4,7,MEN-Denim-id_00001198,02,additional,MEN-Denim-id_00001198-02_7_additional_segm.png
39,MEN-Denim-id_00001198-03_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00001198,03,additional,MEN-Denim-id_00001198-03_7_additional_segm.png
40,MEN-Denim-id_00001198-04_7_additional.jpg,1,1,7,3,4,7,MEN-Denim-id_00001198,04,additional,MEN-Denim-id_00001198-04_7_additional_segm.png
41,MEN-Denim-id_00001223-01_4_full.jpg,1,0,1,3,4,3,MEN-Denim-id_00001223,01,full,MEN-Denim-id_00001223-01_4_full_segm.png
42,MEN-Denim-id_00001231-01_4_full.jpg,1,0,7,3,4,7,MEN-Denim-id_00001231,01,full,MEN-Denim-id_00001231-01_4_full_segm.png
43,MEN-Denim-id_00001952-01_7_additional.jpg,0,1,7,3,3,7,MEN-Denim-id_00001952,01,additional,MEN-Denim-id_00001952-01_7_additional_segm.png
44,MEN-Denim-id_00002243-01_4_full.jpg,1,0,1,3,3,3,MEN-Denim-id_00002243,01,full,MEN-Denim-id_00002243-01_4_full_segm.png
45,MEN-Denim-id_00002476-01_1_front.jpg,1,0,7,3,4,7,MEN-Denim-id_00002476,01,front,MEN-Denim-id_00002476-01_1_front_segm.png
46,MEN-Denim-id_00002559-01_4_full.jpg,1,0,7,3,4,7,MEN-Denim-id_00002559,01,full,MEN-Denim-id_00002559-01_4_full_segm.png
47,MEN-Denim-id_00002559-03_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00002559,03,additional,MEN-Denim-id_00002559-03_7_additional_segm.png
48,MEN-Denim-id_00002578-01_1_front.jpg,1,1,7,3,4,7,MEN-Denim-id_00002578,01,front,MEN-Denim-id_00002578-01_1_front_segm.png
49,MEN-Denim-id_00002707-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00002707,01,front,MEN-Denim-id_00002707-01_1_front_segm.png
50,MEN-Denim-id_00002735-01_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00002735,01,front,MEN-Denim-id_00002735-01_1_front_segm.png
52,MEN-Denim-id_00002760-01_4_full.jpg,1,0,7,3,3,7,MEN-Denim-id_00002760,01,full,MEN-Denim-id_00002760-01_4_full_segm.png
53,MEN-Denim-id_00002760-04_4_full.jpg,1,0,7,4,4,7,MEN-Denim-id_00002760,04,full,MEN-Denim-id_00002760-04_4_full_segm.png
54,MEN-Denim-id_00003074-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00003074,01,front,MEN-Denim-id_00003074-01_1_front_segm.png
55,MEN-Denim-id_00003242-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00003242,01,additional,MEN-Denim-id_00003242-01_7_additional_segm.png
56,MEN-Denim-id_00003252-01_1_front.jpg,1,1,7,3,4,7,MEN-Denim-id_00003252,01,front,MEN-Denim-id_00003252-01_1_front_segm.png
57,MEN-Denim-id_00003341-01_7_additional.jpg,1,0,7,3,4,7,MEN-Denim-id_00003341,01,additional,MEN-Denim-id_00003341-01_7_additional_segm.png
58,MEN-Denim-id_00003570-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00003570,01,additional,MEN-Denim-id_00003570-01_7_additional_segm.png
59,MEN-Denim-id_00003734-01_1_front.jpg,4,0,7,2,3,7,MEN-Denim-id_00003734,01,front,MEN-Denim-id_00003734-01_1_front_segm.png
60,MEN-Denim-id_00003845-02_1_front.jpg,1,0,7,3,4,7,MEN-Denim-id_00003845,02,front,MEN-Denim-id_00003845-02_1_front_segm.png
61,MEN-Denim-id_00003879-01_7_additional.jpg,1,1,7,3,1,7,MEN-Denim-id_00003879,01,additional,MEN-Denim-id_00003879-01_7_additional_segm.png
62,MEN-Denim-id_00003879-02_7_additional.jpg,1,1,7,3,1,7,MEN-Denim-id_00003879,02,additional,MEN-Denim-id_00003879-02_7_additional_segm.png
63,MEN-Denim-id_00004051-01_4_full.jpg,1,0,7,3,3,7,MEN-Denim-id_00004051,01,full,MEN-Denim-id_00004051-01_4_full_segm.png
64,MEN-Denim-id_00004064-01_4_full.jpg,0,0,7,3,4,7,MEN-Denim-id_00004064,01,full,MEN-Denim-id_00004064-01_4_full_segm.png
65,MEN-Denim-id_00004714-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00004714,01,additional,MEN-Denim-id_00004714-01_7_additional_segm.png
66,MEN-Denim-id_00004807-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00004807,01,additional,MEN-Denim-id_00004807-01_7_additional_segm.png
67,MEN-Denim-id_00004998-01_4_full.jpg,1,0,7,3,4,7,MEN-Denim-id_00004998,01,full,MEN-Denim-id_00004998-01_4_full_segm.png
68,MEN-Denim-id_00005208-01_7_additional.jpg,1,1,2,3,3,3,MEN-Denim-id_00005208,01,additional,MEN-Denim-id_00005208-01_7_additional_segm.png
69,MEN-Denim-id_00005378-01_7_additional.jpg,4,1,7,3,3,7,MEN-Denim-id_00005378,01,additional,MEN-Denim-id_00005378-01_7_additional_segm.png
70,MEN-Denim-id_00005447-01_4_full.jpg,1,0,1,3,3,3,MEN-Denim-id_00005447,01,full,MEN-Denim-id_00005447-01_4_full_segm.png
71,MEN-Denim-id_00005608-01_7_additional.jpg,1,0,7,3,4,7,MEN-Denim-id_00005608,01,additional,MEN-Denim-id_00005608-01_7_additional_segm.png
72,MEN-Denim-id_00005663-01_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00005663,01,full,MEN-Denim-id_00005663-01_4_full_segm.png
73,MEN-Denim-id_00005724-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00005724,01,additional,MEN-Denim-id_00005724-01_7_additional_segm.png
74,MEN-Denim-id_00005769-02_4_full.jpg,1,0,1,3,3,3,MEN-Denim-id_00005769,02,full,MEN-Denim-id_00005769-02_4_full_segm.png
75,MEN-Denim-id_00005826-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00005826,01,additional,MEN-Denim-id_00005826-01_7_additional_segm.png
76,MEN-Denim-id_00005887-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00005887,01,additional,MEN-Denim-id_00005887-01_7_additional_segm.png
77,MEN-Denim-id_00005887-02_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00005887,02,additional,MEN-Denim-id_00005887-02_7_additional_segm.png
78,MEN-Denim-id_00005887-03_7_additional.jpg,1,0,7,3,4,7,MEN-Denim-id_00005887,03,additional,MEN-Denim-id_00005887-03_7_additional_segm.png
79,MEN-Denim-id_00006034-01_4_full.jpg,1,0,0,3,3,3,MEN-Denim-id_00006034,01,full,MEN-Denim-id_00006034-01_4_full_segm.png
80,MEN-Denim-id_00006106-01_7_additional.jpg,1,0,7,5,4,7,MEN-Denim-id_00006106,01,additional,MEN-Denim-id_00006106-01_7_additional_segm.png
81,MEN-Denim-id_00006117-01_4_full.jpg,1,1,7,4,3,7,MEN-Denim-id_00006117,01,full,MEN-Denim-id_00006117-01_4_full_segm.png
82,MEN-Denim-id_00006359-01_7_additional.jpg,1,0,0,3,4,5,MEN-Denim-id_00006359,01,additional,MEN-Denim-id_00006359-01_7_additional_segm.png
83,MEN-Denim-id_00006407-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00006407,01,additional,MEN-Denim-id_00006407-01_7_additional_segm.png
84,MEN-Denim-id_00006407-02_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00006407,02,additional,MEN-Denim-id_00006407-02_7_additional_segm.png
85,MEN-Denim-id_00006407-03_7_additional.jpg,1,1,7,1,4,7,MEN-Denim-id_00006407,03,additional,MEN-Denim-id_00006407-03_7_additional_segm.png
86,MEN-Denim-id_00006439-01_4_full.jpg,1,0,7,3,3,7,MEN-Denim-id_00006439,01,full,MEN-Denim-id_00006439-01_4_full_segm.png
87,MEN-Denim-id_00006465-01_7_additional.jpg,1,0,7,3,4,7,MEN-Denim-id_00006465,01,additional,MEN-Denim-id_00006465-01_7_additional_segm.png
88,MEN-Denim-id_00006841-01_1_front.jpg,1,0,7,1,3,7,MEN-Denim-id_00006841,01,front,MEN-Denim-id_00006841-01_1_front_segm.png
89,MEN-Denim-id_00006959-01_1_front.jpg,0,0,7,3,4,7,MEN-Denim-id_00006959,01,front,MEN-Denim-id_00006959-01_1_front_segm.png
90,MEN-Denim-id_00007216-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00007216,01,additional,MEN-Denim-id_00007216-01_7_additional_segm.png
91,MEN-Denim-id_00007297-01_7_additional.jpg,0,1,7,3,3,7,MEN-Denim-id_00007297,01,additional,MEN-Denim-id_00007297-01_7_additional_segm.png
92,MEN-Denim-id_00007300-01_1_front.jpg,1,1,0,2,3,3,MEN-Denim-id_00007300,01,front,MEN-Denim-id_00007300-01_1_front_segm.png
93,MEN-Denim-id_00007524-01_4_full.jpg,1,0,7,1,5,7,MEN-Denim-id_00007524,01,full,MEN-Denim-id_00007524-01_4_full_segm.png
94,MEN-Denim-id_00007570-01_1_front.jpg,1,0,7,6,3,7,MEN-Denim-id_00007570,01,front,MEN-Denim-id_00007570-01_1_front_segm.png
95,MEN-Denim-id_00007607-01_1_front.jpg,1,0,7,3,4,7,MEN-Denim-id_00007607,01,front,MEN-Denim-id_00007607-01_1_front_segm.png
99,MEN-Jackets_Vests-id_00000084-04_4_full.jpg,1,1,1,3,3,6,MEN-Jackets_Vests-id_00000084,04,full,MEN-Jackets_Vests-id_00000084-04_4_full_segm.png
101,MEN-Jackets_Vests-id_00000084-05_1_front.jpg,1,0,1,3,3,6,MEN-Jackets_Vests-id_00000084,05,front,MEN-Jackets_Vests-id_00000084-05_1_front_segm.png
