,img_name,upper_fabric,lower_fabric,outer_fabric,upper_pattern,lower_pattern,outer_pattern,img_id,img_num,img_view
0,MEN-Denim-id_00000080-01_7_additional.jpg,1,1,7,3,4,7,MEN-Denim-id_00000080,01,additional
1,MEN-Denim-id_00000089-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,01,additional
2,MEN-Denim-id_00000089-02_7_additional.jpg,1,1,7,2,3,7,MEN-Denim-id_00000089,02,additional
3,MEN-Denim-id_00000089-03_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,03,additional
4,MEN-Denim-id_00000089-04_7_additional.jpg,0,1,7,3,3,7,MEN-Denim-id_00000089,04,additional
5,MEN-Denim-id_00000089-05_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,05,additional
6,MEN-Denim-id_00000089-08_4_full.jpg,1,1,0,4,3,3,MEN-Denim-id_00000089,08,full
7,MEN-Denim-id_00000089-15_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,15,full
8,MEN-Denim-id_00000089-17_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,17,full
9,MEN-Denim-id_00000089-18_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,18,full
10,MEN-Denim-id_00000089-26_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,26,additional
11,MEN-Denim-id_00000089-27_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,27,additional
12,MEN-Denim-id_00000089-28_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,28,front
13,MEN-Denim-id_00000089-29_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,29,additional
14,MEN-Denim-id_00000089-44_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,44,additional
15,MEN-Denim-id_00000089-45_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,45,additional
16,MEN-Denim-id_00000089-46_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,46,additional
17,MEN-Denim-id_00000182-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000182,01,additional
19,MEN-Denim-id_00000265-01_2_side.jpg,1,1,7,3,3,7,MEN-Denim-id_00000265,01,side
21,MEN-Denim-id_00000313-01_1_front.jpg,1,0,7,4,3,7,MEN-Denim-id_00000313,01,front
22,MEN-Denim-id_00000353-01_7_additional.jpg,1,0,1,3,3,3,MEN-Denim-id_00000353,01,additional
23,MEN-Denim-id_00000353-02_7_additional.jpg,1,0,0,3,4,3,MEN-Denim-id_00000353,02,additional
24,MEN-Denim-id_00000516-01_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00000516,01,front
26,MEN-Denim-id_00000750-01_1_front.jpg,1,0,1,3,4,3,MEN-Denim-id_00000750,01,front
27,MEN-Denim-id_00000826-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00000826,01,front
28,MEN-Denim-id_00000826-02_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000826,02,additional
29,MEN-Denim-id_00000826-03_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00000826,03,front
30,MEN-Denim-id_00000826-04_7_additional.jpg,1,0,7,3,4,7,MEN-Denim-id_00000826,04,additional
34,MEN-Denim-id_00000938-02_1_front.jpg,1,1,2,2,3,3,MEN-Denim-id_00000938,02,front
35,MEN-Denim-id_00000938-03_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000938,03,additional
36,MEN-Denim-id_00000938-05_1_front.jpg,0,1,7,3,4,7,MEN-Denim-id_00000938,05,front
42,MEN-Denim-id_00001231-01_4_full.jpg,1,0,7,3,4,7,MEN-Denim-id_00001231,01,full
44,MEN-Denim-id_00002243-01_4_full.jpg,1,0,1,3,3,3,MEN-Denim-id_00002243,01,full
45,MEN-Denim-id_00002476-01_1_front.jpg,1,0,7,3,4,7,MEN-Denim-id_00002476,01,front
46,MEN-Denim-id_00002559-01_4_full.jpg,1,0,7,3,4,7,MEN-Denim-id_00002559,01,full
47,MEN-Denim-id_00002559-03_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00002559,03,additional
48,MEN-Denim-id_00002578-01_1_front.jpg,1,1,7,3,4,7,MEN-Denim-id_00002578,01,front
49,MEN-Denim-id_00002707-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00002707,01,front
50,MEN-Denim-id_00002735-01_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00002735,01,front
52,MEN-Denim-id_00002760-01_4_full.jpg,1,0,7,3,3,7,MEN-Denim-id_00002760,01,full
53,MEN-Denim-id_00002760-04_4_full.jpg,1,0,7,4,4,7,MEN-Denim-id_00002760,04,full
54,MEN-Denim-id_00003074-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00003074,01,front
55,MEN-Denim-id_00003242-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00003242,01,additional
