,img_name,upper_fabric,lower_fabric,outer_fabric,upper_pattern,lower_pattern,outer_pattern,img_id,img_num,img_view,segm_name
15754,WOMEN-Dresses-id_00001218-01_7_additional.jpg,5,5,7,0,0,7,WOMEN-Dresses-id_00001218,01,additional,WOMEN-Dresses-id_00001218-01_7_additional_segm.png
37944,WOMEN-Tees_Tanks-id_00003755-09_4_full.jpg,1,0,7,3,3,7,WOMEN-Tees_Tanks-id_00003755,09,full,WOMEN-Tees_Tanks-id_00003755-09_4_full_segm.png
26021,WOMEN-Rompers_Jumpsuits-id_00003690-02_3_back.jpg,1,1,7,1,1,7,WOMEN-Rompers_Jumpsuits-id_00003690,02,back,WOMEN-Rompers_Jumpsuits-id_00003690-02_3_back_segm.png
21579,WOMEN-Graphic_Tees-id_00000046-01_7_additional.jpg,1,1,1,1,3,3,WOMEN-Graphic_Tees-id_00000046,01,additional,WOMEN-Graphic_Tees-id_00000046-01_7_additional_segm.png
15830,WOMEN-Dresses-id_00001363-05_1_front.jpg,5,5,7,3,3,7,WOMEN-Dresses-id_00001363,05,front,WOMEN-Dresses-id_00001363-05_1_front_segm.png
24497,WOMEN-Jackets_Coats-id_00007722-02_7_additional.jpg,4,0,1,3,3,3,WOMEN-Jackets_Coats-id_00007722,02,additional,WOMEN-Jackets_Coats-id_00007722-02_7_additional_segm.png
43484,WOMEN-Tees_Tanks-id_00007681-02_3_back.jpg,1,1,7,3,3,7,WOMEN-Tees_Tanks-id_00007681,02,back,WOMEN-Tees_Tanks-id_00007681-02_3_back_segm.png
19884,WOMEN-Dresses-id_00006058-01_7_additional.jpg,1,1,7,3,3,7,WOMEN-Dresses-id_00006058,01,additional,WOMEN-Dresses-id_00006058-01_7_additional_segm.png
1480,MEN-Shorts-id_00003280-01_7_additional.jpg,1,1,7,1,1,7,MEN-Shorts-id_00003280,01,additional,MEN-Shorts-id_00003280-01_7_additional_segm.png
546,MEN-Pants-id_00001375-03_7_additional.jpg,1,1,1,3,3,3,MEN-Pants-id_00001375,03,additional,MEN-Pants-id_00001375-03_7_additional_segm.png
18025,WOMEN-Dresses-id_00004091-06_4_full.jpg,1,1,7,3,3,7,WOMEN-Dresses-id_00004091,06,full,WOMEN-Dresses-id_00004091-06_4_full_segm.png
19011,WOMEN-Dresses-id_00005309-01_7_additional.jpg,5,5,7,3,3,7,WOMEN-Dresses-id_00005309,01,additional,WOMEN-Dresses-id_00005309-01_7_additional_segm.png
32377,WOMEN-Sweatshirts_Hoodies-id_00003660-05_7_additional.jpg,1,0,1,3,3,3,WOMEN-Sweatshirts_Hoodies-id_00003660,05,additional,WOMEN-Sweatshirts_Hoodies-id_00003660-05_7_additional_segm.png
42625,WOMEN-Tees_Tanks-id_00006991-10_4_full.jpg,1,0,7,3,3,7,WOMEN-Tees_Tanks-id_00006991,10,full,WOMEN-Tees_Tanks-id_00006991-10_4_full_segm.png
2096,MEN-Sweaters-id_00004959-03_4_full.jpg,1,1,1,3,3,4,MEN-Sweaters-id_00004959,03,full,MEN-Sweaters-id_00004959-03_4_full_segm.png
25002,WOMEN-Pants-id_00005000-08_2_side.jpg,1,1,7,3,3,7,WOMEN-Pants-id_00005000,08,side,WOMEN-Pants-id_00005000-08_2_side_segm.png
43085,WOMEN-Tees_Tanks-id_00007349-02_7_additional.jpg,1,0,7,3,3,7,WOMEN-Tees_Tanks-id_00007349,02,additional,WOMEN-Tees_Tanks-id_00007349-02_7_additional_segm.png
39633,WOMEN-Tees_Tanks-id_00004971-01_1_front.jpg,1,0,7,3,3,7,WOMEN-Tees_Tanks-id_00004971,01,front,WOMEN-Tees_Tanks-id_00004971-01_1_front_segm.png
24428,WOMEN-Jackets_Coats-id_00007450-02_1_front.jpg,1,0,0,3,3,3,WOMEN-Jackets_Coats-id_00007450,02,front,WOMEN-Jackets_Coats-id_00007450-02_1_front_segm.png
22378,WOMEN-Graphic_Tees-id_00004855-01_4_full.jpg,1,0,7,1,3,7,WOMEN-Graphic_Tees-id_00004855,01,full,WOMEN-Graphic_Tees-id_00004855-01_4_full_segm.png
24599,WOMEN-Leggings-id_00000682-03_1_front.jpg,1,0,7,6,3,7,WOMEN-Leggings-id_00000682,03,front,WOMEN-Leggings-id_00000682-03_1_front_segm.png
37987,WOMEN-Tees_Tanks-id_00003771-01_4_full.jpg,1,5,7,3,3,7,WOMEN-Tees_Tanks-id_00003771,01,full,WOMEN-Tees_Tanks-id_00003771-01_4_full_segm.png
24884,WOMEN-Pants-id_00003258-03_1_front.jpg,1,1,7,1,1,7,WOMEN-Pants-id_00003258,03,front,WOMEN-Pants-id_00003258-03_1_front_segm.png
13231,WOMEN-Cardigans-id_00000320-01_7_additional.jpg,1,1,7,3,3,7,WOMEN-Cardigans-id_00000320,01,additional,WOMEN-Cardigans-id_00000320-01_7_additional_segm.png
33158,WOMEN-Tees_Tanks-id_00000316-06_4_full.jpg,1,0,7,6,3,7,WOMEN-Tees_Tanks-id_00000316,06,full,WOMEN-Tees_Tanks-id_00000316-06_4_full_segm.png
17510,WOMEN-Dresses-id_00003516-05_1_front.jpg,1,1,7,5,5,7,WOMEN-Dresses-id_00003516,05,front,WOMEN-Dresses-id_00003516-05_1_front_segm.png
31942,WOMEN-Sweaters-id_00007907-05_4_full.jpg,4,0,7,3,3,7,WOMEN-Sweaters-id_00007907,05,full,WOMEN-Sweaters-id_00007907-05_4_full_segm.png
8528,WOMEN-Blouses_Shirts-id_00003374-02_1_front.jpg,1,1,7,1,3,7,WOMEN-Blouses_Shirts-id_00003374,02,front,WOMEN-Blouses_Shirts-id_00003374-02_1_front_segm.png
37049,WOMEN-Tees_Tanks-id_00003338-06_4_full.jpg,1,0,7,3,3,7,WOMEN-Tees_Tanks-id_00003338,06,full,WOMEN-Tees_Tanks-id_00003338-06_4_full_segm.png
36313,WOMEN-Tees_Tanks-id_00002678-52_1_front.jpg,1,0,7,3,3,7,WOMEN-Tees_Tanks-id_00002678,52,front,WOMEN-Tees_Tanks-id_00002678-52_1_front_segm.png
33862,WOMEN-Tees_Tanks-id_00000969-04_4_full.jpg,1,0,7,3,3,7,WOMEN-Tees_Tanks-id_00000969,04,full,WOMEN-Tees_Tanks-id_00000969-04_4_full_segm.png
27852,WOMEN-Shorts-id_00006051-04_4_full.jpg,4,0,7,1,1,7,WOMEN-Shorts-id_00006051,04,full,WOMEN-Shorts-id_00006051-04_4_full_segm.png
18235,WOMEN-Dresses-id_00004390-02_7_additional.jpg,1,1,7,0,0,7,WOMEN-Dresses-id_00004390,02,additional,WOMEN-Dresses-id_00004390-02_7_additional_segm.png
15912,WOMEN-Dresses-id_00001475-02_4_full.jpg,1,1,7,0,0,7,WOMEN-Dresses-id_00001475,02,full,WOMEN-Dresses-id_00001475-02_4_full_segm.png
11080,WOMEN-Blouses_Shirts-id_00005860-02_7_additional.jpg,5,1,7,1,3,7,WOMEN-Blouses_Shirts-id_00005860,02,additional,WOMEN-Blouses_Shirts-id_00005860-02_7_additional_segm.png
2322,MEN-Sweatshirts_Hoodies-id_00002115-01_7_additional.jpg,1,1,7,1,3,7,MEN-Sweatshirts_Hoodies-id_00002115,01,additional,MEN-Sweatshirts_Hoodies-id_00002115-01_7_additional_segm.png
41414,WOMEN-Tees_Tanks-id_00006210-02_4_full.jpg,1,0,7,1,3,7,WOMEN-Tees_Tanks-id_00006210,02,full,WOMEN-Tees_Tanks-id_00006210-02_4_full_segm.png
